DEV005              DEV006              DEV195
4.239805933740504   4.163093785424857   4.15928672771045
4.1814060778616655  4.08807047571383    4.067251480885564
4.107940247324484   4.1288248373106855  4.026578656716731
4.153128030028757   4.103034130804958   4.120514187250846
4.273847789740265   4.087517379012344   4.058131687789422
4.22498612187817    4.115213971492534   4.1809395860333884
4.2405887638845465  4.071153566556778   4.115223221168994
4.121157467246661   4.067164656556897   4.095493335331107
4.0571682342402084  4.132588618734175   4.133047747710931
4.148332541931386   4.069232444093004   4.088946595022193
4.20568838569271    4.114697116639366   4.101213103503676
4.117321728801501   4.0663303424766415  4.044304688671703
4.206775781693025   4.186942439643096   4.202939993669871
4.165849939106057   4.131764212244996   4.1521052518676225
4.123358226611485   4.119226877960783   4.119140326977453
4.146993290649623   4.162879158533987   4.117049179816192
4.16469440460028    4.121772359567122   4.0529232618150655
4.127632151768809   4.128287162938251   4.0704190450007935
4.1000767576180275  4.069024027730583   4.106033636021969
4.181904571272408   4.126259857805439   4.073015139937308
4.1564480337926115  4.086164864629258   4.208287919963712
4.1838758235759945  4.12375811908259    4.1809291731189395
4.18942632357761    4.074439774652941   4.168183242178428
4.166854238622153   4.141123908717456   4.1436994340160345
4.126047806903142   4.059725975105126   4.097230203677963
4.138282851915117   4.009861512309717   4.034626433375744
4.083717573215973   4.158944825608437   4.11779655004946
4.143810183505911   4.118314342955458   4.172199499376808
4.1171614895770094  4.09582516826939    4.084414646990185
4.140169548692731   4.067847657354958   4.116965797259021
4.044239795314773   4.109147996726149   4.234861549812448
4.112680138724723   4.1083601750182535  4.0943376980252255
4.038530138461961   4.0525976904100505  4.058847372189169
4.0622917027930905  4.082417503029766   4.0406492374867895
4.140818190389449   4.120516287658267   4.077065973966195
4.126301441051096   4.044923498621287   4.153506547880662
4.125035234945126   4.094351000712438   4.062949322057282
4.05430977588299    4.081372518116765   4.132412304954111
4.097671740677493   4.130603092443289   4.0107329172356705
4.025405967280508   4.13310234208864    4.106872380650541
4.144065469468079   4.103524695996227   4.131511991784567
4.159773536350279   4.044913393831965   4.127908242028294
4.165162636740886   4.047615793017962   4.072549164181337
4.065090656299005   4.107910147712178   4.084254783714296
4.080652430007343   4.084748785969288   4.031394009794178
4.147414593948041   4.0759329199728445  4.083266397176252
4.130844114747365   4.035869004559801   4.050087929227606
4.249061269224144   4.077677280978385   4.0925086499526415
4.026278234429027   4.072111748649545   4.104390831916178
3.9667135621833753  4.001582528279241   4.085443886870775
4.125633338862535   4.083647651733956   4.0975377354356395
4.150982760447933   4.093949994094299   4.200129591257785
4.175043174316269   4.219600687439494   4.145288494221884
4.218026077895905   4.077813461179927   4.0627639453478555
4.116518775689017   4.102886549991876   4.175328507587332
4.083312287539722   4.066620904138761   4.126506997165823
4.184586576605217   4.091614136221602   4.0768265598046804
4.176395725530728   4.123582281629077   4.068138497484578
4.096474687669846   4.072138518006474   4.032784831032541
4.105830262057782   4.045876838097523   4.099075686141759
4.052765030187221   4.066821432002005   4.052126895505822
4.114628538447136   4.036568175246389   4.084416344315658
4.197223082425994   4.133971188407465   4.150029206864968
4.152321744386805   4.1333986531320575  4.201877510518707
4.113371068649811   4.0555375254248425  4.120726835867697
4.082554077364411   4.100185336262343   4.077535732355325
4.0866579397026666  4.093183708099776   4.112592405751621
4.133646122746135   4.101710835445925   4.133200649555667
4.0675317517861656  4.0085679697076095  4.016173830588694
4.001148994106739   4.020625561940557   4.049416321099311
4.185577789075694   4.19672711174254    4.101406139368023
4.081412852792608   4.035799972094934   4.020212829171109
4.129914009716441   4.114279517018126   4.164471703458365
4.129822511747217   4.100494743636491   4.184031882993415
4.082892648638412   4.169512390862097   4.164964285924384
4.08902492425686    4.073060882444017   4.092305519262222
